"","Uniprot_InteractorA","Uniprot_InteractorB","Confidence.value.s.","InteractorA","InteractorB"
"1","uniprotkb:P11433","uniprotkb:P18852","intact-miscore:0.37","YAL041W","YJR086W"
"2","uniprotkb:P21268","uniprotkb:P18851","intact-miscore:0.53","YJL157C","YOR212W"
"3","uniprotkb:P39010","uniprotkb:P18852","intact-miscore:0.37","YDR264C","YJR086W"
"4","uniprotkb:P33204","uniprotkb:P36006","intact-miscore:0.37","YKL013C","YKL129C"
"5","uniprotkb:P38328","uniprotkb:P36006","intact-miscore:0.51","YBR234C","YKL129C"
"6","uniprotkb:P38634","uniprotkb:P17157","intact-miscore:0.44","YLR079W","YPL031C"
"7","uniprotkb:P38682","uniprotkb:P41811","intact-miscore:0.55","YER122C","YGL137W"
"8","uniprotkb:P32074","uniprotkb:P38682","intact-miscore:0.55","YNL287W","YER122C"
"9","uniprotkb:P32383","uniprotkb:P40969","intact-miscore:0.37","YPL268W","YMR168C"
"10","uniprotkb:P32504","uniprotkb:P32383","intact-miscore:0.53","YGR140W","YPL268W"
"11","uniprotkb:P17106","uniprotkb:P35201","intact-miscore:0.44","YJR060W","YKL089W"
"12","uniprotkb:P40969","uniprotkb:P17106","intact-miscore:0.44","YMR168C","YJR060W"
"13","uniprotkb:P17106","uniprotkb:P32504","intact-miscore:0.44","YJR060W","YGR140W"
"14","uniprotkb:P35203","uniprotkb:P17106","intact-miscore:0.44","YMR094W","YJR060W"
"15","uniprotkb:P04147","uniprotkb:P53297","intact-miscore:0.37","YER165W","YGR178C"
"16","uniprotkb:P24583","uniprotkb:P04147","intact-miscore:0.37","YBL105C","YER165W"
"17","uniprotkb:P04147","uniprotkb:P38151","intact-miscore:0.55","YER165W","YBR233W"
"18","uniprotkb:P32486","uniprotkb:P04147","intact-miscore:0.37","YPR159W","YER165W"
"19","uniprotkb:P04147","uniprotkb:P07260","intact-miscore:0.56","YER165W","YOL139C"
"20","uniprotkb:P32911","uniprotkb:P38764","intact-miscore:0.37","YNL244C","YHR027C"
"21","uniprotkb:P38764","uniprotkb:P25390","intact-miscore:0.37","YHR027C","YCR073C"
"22","uniprotkb:Q03656","uniprotkb:P33298","intact-miscore:0.37","YMR216C","YDR394W"
"23","uniprotkb:Q01939","uniprotkb:P32911","intact-miscore:0.37","YGL048C","YNL244C"
"24","uniprotkb:Q12250","uniprotkb:P38956","intact-miscore:0.37","YDL147W","YDR073W"
"25","uniprotkb:P32911","uniprotkb:Q04062","intact-miscore:0.37","YNL244C","YDR427W"
"26","uniprotkb:Q07478","uniprotkb:P40302","intact-miscore:0.37","YDL084W","YMR314W"
"27","uniprotkb:P38293","uniprotkb:P30656","intact-miscore:0.37","YBR173C","YPR103W"
"28","uniprotkb:Q06624","uniprotkb:P38624","intact-miscore:0.37","YPR180W","YJL001W"
"29","uniprotkb:P30657","uniprotkb:P40013","intact-miscore:0.37","YFR050C","YER016W"
"30","uniprotkb:P30657","uniprotkb:P40064","intact-miscore:0.37","YFR050C","YER105C"
"31","uniprotkb:P40302","uniprotkb:P52917","intact-miscore:0.37","YMR314W","YPR173C"
"32","uniprotkb:P36003","uniprotkb:P38764","intact-miscore:0.37","YKL171W","YHR027C"
"33","uniprotkb:Q02199","uniprotkb:P23639","intact-miscore:0.37","YGL172W","YML092C"
"34","uniprotkb:P32911","uniprotkb:P23638","intact-miscore:0.37","YNL244C","YGR135W"
"35","uniprotkb:P21242","uniprotkb:Q03792","intact-miscore:0.37","YOR362C","YMR154C"
"36","uniprotkb:P32911","uniprotkb:P21242","intact-miscore:0.37","YNL244C","YOR362C"
"37","uniprotkb:Q08018","uniprotkb:P21242","intact-miscore:0.37","YLR076C","YOR362C"
"38","uniprotkb:Q04062","uniprotkb:Q08018","intact-miscore:0.37","YDR427W","YLR076C"
"39","uniprotkb:Q04062","uniprotkb:Q06708","intact-miscore:0.37","YDR427W","YLR386W"
"40","uniprotkb:P47050","uniprotkb:P30657","intact-miscore:0.37","YJL047C","YFR050C"
"41","uniprotkb:P40064","uniprotkb:P23724","intact-miscore:0.37","YER105C","YBL041W"
"42","uniprotkb:Q03465","uniprotkb:P23724","intact-miscore:0.37","YDL020C","YBL041W"
"43","uniprotkb:P25390","uniprotkb:P23724","intact-miscore:0.37","YCR073C","YBL041W"
"44","uniprotkb:P23724","uniprotkb:P40555","intact-miscore:0.37","YBL041W","YIL007C"
"45","uniprotkb:P30657","uniprotkb:P38346","intact-miscore:0.37","YFR050C","YBR270C"
"46","uniprotkb:P53243","uniprotkb:P30657","intact-miscore:0.37","YGR067C","YFR050C"
"47","uniprotkb:P30657","uniprotkb:P53851","intact-miscore:0.37","YFR050C","YNL253W"
"48","uniprotkb:P22216","uniprotkb:P32325","intact-miscore:0.37","YPL153C","YDR052C"
"49","uniprotkb:P14680","uniprotkb:P29311","intact-miscore:0.32","YJL141C","YER177W"
"50","uniprotkb:P34730","uniprotkb:P14680","intact-miscore:0.32","YDR099W","YJL141C"
"51","uniprotkb:Q08963","uniprotkb:Q04693","intact-miscore:0.53","YPL213W","YML049C"
"52","uniprotkb:P40546","uniprotkb:Q08963","intact-miscore:0.32","YIL019W","YPL213W"
"53","uniprotkb:P25693","uniprotkb:P39743","intact-miscore:0.37","YDL127W","YDR388W"
