"1016_Fluconazole","1016_NoDrug","1038_Fluconazole","1038_NoDrug","1069_Fluconazole","1069_NoDrug","119_Fluconazole","119_NoDrug","128_Fluconazole","128_NoDrug","20_Fluconazole","20_NoDrug","272_Fluconazole","272_NoDrug","31_Fluconazole","31_NoDrug","33_Fluconazole","33_NoDrug","354_Fluconazole","354_NoDrug","385_Fluconazole","385_NoDrug","399_Fluconazole","399_NoDrug","400_Fluconazole","400_NoDrug","476_Fluconazole","476_NoDrug","491_Fluconazole","491_NoDrug","507_Fluconazole","507_NoDrug","521_Fluconazole","521_NoDrug","578_Fluconazole","578_NoDrug","589_Fluconazole","589_NoDrug","590_Fluconazole","590_NoDrug","60_Fluconazole","60_NoDrug","673_Fluconazole","673_NoDrug","674_Fluconazole","674_NoDrug","683_Fluconazole","683_NoDrug","690_Fluconazole","690_NoDrug","701_Fluconazole","701_NoDrug","705_Fluconazole","705_NoDrug","721_Fluconazole","721_NoDrug","731_Fluconazole","731_NoDrug","739_Fluconazole","739_NoDrug","782_Fluconazole","782_NoDrug","783_Fluconazole","783_NoDrug","789_Fluconazole","789_NoDrug","795_Fluconazole","795_NoDrug","801_Fluconazole","801_NoDrug","804_Fluconazole","804_NoDrug","833_Fluconazole","833_NoDrug","837_Fluconazole","837_NoDrug","841_Fluconazole","841_NoDrug","842_Fluconazole","842_NoDrug","869_Fluconazole","869_NoDrug","888_Fluconazole","888_NoDrug","91_Fluconazole","91_NoDrug","933_Fluconazole","933_NoDrug","94_Fluconazole","94_NoDrug","966_Fluconazole","966_NoDrug","972_Fluconazole","972_NoDrug","983_Fluconazole","983_NoDrug"
"Q0020",6.22638405935609,6.24860823840376,9.78376484378903,5.53455950540739,6.50482295627241,5.93812686996566,6.17830924136229,6.00916669272771,5.93209787199159,5.90695720059035,5.68377761422905,5.32708119208548,5.68849674733525,5.876734341288,5.80698551544221,5.78967128161774,5.59200452899127,5.23594222183148,5.61934337375513,4.97638737932681,8.2728557781541,5.2414266118908,5.48736003392386,5.29796786137421,5.7902882109083,5.93121668295828,6.25140723162913,6.43296609089731,6.04812602469823,6.19204780335938,5.81676526896617,5.71156637277992,6.12464902614952,5.97409479497626,6.11283968654344,5.85517749307825,6.47557509681683,5.57345571516815,5.66123366994775,6.01747338512818,6.49653535459335,5.83164478946721,6.25087865117911,5.97957875982325,6.29543597082573,6.41153341359498,5.76691330414646,5.87894874261253,5.72174894538712,6.36871610751601,5.71622907175358,5.77924709191089,5.93047698922193,5.5279765197178,6.27406616358867,5.93459269188691,5.7032661845673,5.60075652200575,5.7371490548266,7.86799957508541,6.11757939107025,5.79288650444772,5.93967890596934,5.53737357474423,6.34311633804217,6.82514128519832,6.28263621960752,5.87903581345382,6.94410190201982,6.00441093942291,5.87433485690363,5.75805552238237,6.03752983186134,5.54248371995884,5.95491788502177,5.64493394939827,5.88955684621623,6.39371001934947,5.86543254134441,5.31966804873357,3.71255946695894,4.49934965029575,3.71255946695894,3.71255946695894,6.3693962786431,4.27516334189935,5.48236783769483,5.36529780617636,6.63304969894862,5.5947367376817,7.60417865431216,6.06575580752657,6.34598602921113,5.70716375765483,5.68477119107475,5.72810218167964
"Q0045",4.12600179919652,4.42417776878562,5.85719024711249,4.14595955682673,4.53341397011604,4.12002138941821,6.95284398485202,6.64281268704559,4.24310698411727,4.11894018339635,4.25878284417019,4.09162225474898,3.71255946695894,4.15920498547814,4.2629857002275,4.08328039756817,4.26803626980532,3.71255946695894,4.40186960023522,4.0881120778307,4.86134727397225,4.27517438620597,4.23359641611358,4.26464974692635,3.71255946695894,4.24921458555237,4.46670755055727,4.25624277116749,4.45464642297636,4.2576741391853,4.07918468522005,4.25864566582729,4.36898334188448,4.23111326720583,4.24687178234205,4.26196290355686,4.25895366310486,4.26188583196727,3.71255946695894,4.24873976958844,6.49653535459335,6.28166277751971,4.24409501720719,4.25652731759254,4.26514400842134,4.41005413991808,4.26723014553164,3.71255946695894,4.37290056619766,4.37183213547827,4.12102659246229,4.08617911094201,4.47612063232877,3.71255946695894,4.30273712270956,4.3022384346303,4.26493615957909,3.71255946695894,4.24191633051543,4.63426913019074,4.28956586507265,4.32449912862477,4.46172546306764,4.28352967276223,4.26813873945453,4.50265627423178,4.36084133580475,4.11286708784603,4.29118239166984,4.06400197280821,4.30091628339983,3.71255946695894,4.15413267726812,4.2067321700268,4.44000877609867,4.33489596592307,4.27225374111364,4.32475418913719,4.29809763511461,3.71255946695894,3.71255946695894,4.17053787205267,3.71255946695894,3.71255946695894,3.71255946695894,5.24139877769021,4.27667103580121,4.30674665778596,4.58300462959001,4.26894391870203,7.5024142408237,7.20777207882879,4.25086172447325,3.71255946695894,4.29910274910705,4.50004906262246
"Q0055",5.79836627913005,5.53550978435301,7.6540196773068,5.04083631555167,5.74218582166312,5.51129465313387,6.93022949586228,6.9947833580614,5.54684792911648,5.35263968908813,5.01395915288213,4.93636412790506,5.18455715741638,5.14079635692955,5.33288099518129,5.14051925894136,5.13320940576057,5.0460231249327,4.94522774994391,4.75496103791639,6.14740303420756,5.3257539167125,5.0938758159769,4.79772664675073,5.49348384464244,4.94095170273494,5.70726002382885,5.1935539354802,5.50742898485517,5.27948808992553,5.20479250758463,5.35895789287349,5.71125508397333,4.73380294624552,5.70089930529973,5.20805233245055,5.62588565595284,5.25000834298107,5.25619657679501,5.17449248039485,6.87877186750436,6.58719985995286,5.16266742274521,5.35311322246781,5.44964892002762,5.4936766638272,5.49048346507192,5.17378372428604,5.48336037644789,5.51315554745604,5.44027818062534,5.06442220793091,5.42240028973392,5.09057634576674,5.31054747435055,5.30930300945207,5.17158572615205,5.03707619861582,5.38318398487642,6.03720152271028,5.5546441071611,5.61623708736902,5.32188402766512,5.06969508118982,5.59231304960903,5.54622861043672,5.60624693225025,5.24575656450413,5.66126713131185,5.28591386412267,5.47447280561683,5.42401413989277,5.38970722297609,5.14301612905255,5.22983228876765,5.29185787921472,5.53911666663091,5.36526394072869,5.38587241534968,5.19111987383143,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,5.54761759081263,5.48236783769483,5.12164389467907,5.87546889422612,5.38729592011214,8.05062362739487,7.18389287589541,5.47623542552074,5.15265899415797,5.38849579223383,5.04559830002455
"Q0060",3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894
"Q0070",3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894
"Q0075",3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,6.27300325858077,6.12627185890234,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,6.13411359867126,5.58336278746647,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,5.05089374675195,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,6.89830951155288,6.4401064695298,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894
"Q0085",4.29528864925831,3.71255946695894,4.33514659849639,3.71255946695894,4.29685084118932,3.71255946695894,3.71255946695894,4.2855451138264,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,4.02901354579945,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,4.29821943130566,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,4.09553422921352,4.1204000841885,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,4.25327422034047,4.09538708362251,4.12102659246229,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,4.10433403582625,3.71255946695894,4.08791500997357,3.71255946695894,3.71255946695894,3.71255946695894,4.24524088641635,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,4.33464809570111,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,4.99746829213796,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,4.12881726780388,4.14804993458933,3.71255946695894,3.71255946695894,3.71255946695894,4.10995312967709
"Q0105",3.71255946695894,3.71255946695894,4.77511975235262,3.71255946695894,4.29685084118932,4.12002138941821,3.71255946695894,3.71255946695894,4.24310698411727,3.71255946695894,4.25878284417019,4.09162225474898,3.71255946695894,4.02901354579945,3.71255946695894,3.71255946695894,4.10654612617752,3.71255946695894,4.27713815581532,3.71255946695894,3.71255946695894,4.11164038996783,4.23359641611358,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,4.09813202288874,4.24015329668927,3.71255946695894,3.71255946695894,4.09984611728488,4.25004865937811,4.08021371927459,4.24687178234205,3.71255946695894,4.1000658352645,3.71255946695894,4.23476016942575,3.71255946695894,4.47196240000703,3.71255946695894,4.24409501720719,3.71255946695894,4.26514400842134,4.06384480330609,3.71255946695894,3.71255946695894,4.25327422034047,4.09538708362251,3.71255946695894,3.71255946695894,4.25559119830056,4.12425585138505,4.30273712270956,3.71255946695894,3.71255946695894,4.12468747077099,3.71255946695894,3.71255946695894,4.12191479999973,3.71255946695894,3.71255946695894,3.71255946695894,4.26813873945453,4.11129298077503,4.24334529237079,4.11286708784603,3.71255946695894,4.20836059054518,3.71255946695894,4.11676696573931,3.71255946695894,4.06284210638728,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,4.13342774932889,4.61746049054237,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,4.26894391870203,4.53671363205317,3.71255946695894,4.09429394951914,4.0988671661244,3.71255946695894,4.10995312967709
"Q0115",3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,4.24882234871719,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,4.0960146003675,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894
"Q0120",4.29528864925831,3.71255946695894,4.33514659849639,4.14595955682673,4.29685084118932,4.51962946430072,4.10025173795403,4.2855451138264,4.24310698411727,4.28539999376124,4.48055775869823,4.09162225474898,4.12188120959262,3.71255946695894,3.71255946695894,4.23541550899243,4.26803626980532,4.27299908050612,4.11304208280616,4.24219272240357,4.29821943130566,3.71255946695894,3.71255946695894,3.71255946695894,4.23559479904978,4.09311924481877,4.24882234871719,4.25624277116749,3.71255946695894,4.09915306724548,4.22966950976544,4.25864566582729,3.71255946695894,4.23111326720583,4.09144851137177,4.26196290355686,4.25895366310486,3.71255946695894,4.23476016942575,4.09278062735708,4.2526007183905,4.1204000841885,4.24409501720719,4.25652731759254,3.71255946695894,4.06384480330609,3.71255946695894,4.11865413213388,4.25327422034047,3.71255946695894,3.71255946695894,3.71255946695894,4.09766724875943,3.71255946695894,4.30273712270956,4.13096614161371,3.71255946695894,4.29344839296508,3.71255946695894,3.71255946695894,4.28956586507265,3.71255946695894,4.24524088641635,3.71255946695894,4.10661924739809,4.27468764689754,4.08893388022527,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,3.71255946695894,4.13549978301761,3.71255946695894,3.71255946695894,3.71255946695894,4.12800816128183,3.71255946695894,4.30568392816939,4.61746049054237,4.1299112339251,4.17438570340345,3.71255946695894,3.71255946695894,4.11270865527665,3.71255946695894,4.10654036836007,4.26894391870203,4.53671363205317,4.14804993458933,4.09429394951914,3.71255946695894,4.12872612615329,3.71255946695894
