Gene,ORF,Uniprot ID,Chrom,Position_left,Position_right
ACF2,YLR144C,Q12168,CHR_12,429677,432016
ADE17,YMR120C,P38009,CHR_13,507502,509280
ALO1,YML086C,P54783,CHR_13,95791,97371
CTR2,YHR175W,P38865,CHR_8,452872,453441
DHH1,YDL160C,P39517,CHR_4,170410,171930
EMP47,YFL048C,P43555,CHR_6,38843,40180
EMP70,YLR083C,P32802,CHR12,294091,296094
ERG11,YHR007C,P10614,CHR_8,120091,121683
ERG27,YLR100W,Q12452,CHR_12,341810,342853
ERG5,YMR015C,P54781,CHR_13,300869,302485
ERV25,YML012W,P54837,CHR_13,246116,246751
FMP45,YDL222C,Q07651,CHR_4,60872,61801
GIS2,YNL255C,P53849,CHR_14,167329,167790
GTR1,YML121W,Q00582,CHR_13,26930,27862
GTR2,YGR163W,P53290,CHR_7,827552,828577
HNM1,YGL077C,P19807,CHR_7,362225,363916
HUG1,YML058W-A,Q6Q5K6,CHR_13,158760,158966
HYR1,YIR037W,P40581,CHR_9,423128,423619
LSM3,YLR438C-A,P57743,CHR_12,1013909,1014178
MAM33,YIL070C,P40513,CHR_9,230272,231072
MEP1,YGR121C,P40260,CHR_7,731449,732927
MID2,YLR332W,P36027,CHR_12,790676,791806
ORM2,YLR350W,Q06144,CHR_12,828730,829380
PGM2,YMR105C,P37012,CHR_13,475897,477606
PIN2,YOR104W,Q12057,CHR_15,517642,518490
PIS1,YPR113W,P06197,CHR_16,752257,752919
PLM2,YDR501W,Q04383,CHR_4,1451353,1452918
PMC1,YGL006W,P38929,CHR_7,485921,489442
RBD2,YPL246C,Q12270,CHR_16,84509,85297
RET2,YFR051C,P43621,CHR_6,250163,251803
RSN1,YMR266W,Q03516,CHR_13,798518,801379
SGN1,YIR001C,P40561,CHR_9,356143,356895
SLM4,YBR077C,P38247,CHR_2,391805,392293
SNA3,YJL151C,P14359,CHR_10,136372,136773
SNA4,YDL123W,Q07549,CHR_4,241418,241840
SRO9,YCL037C,P25567,CHR_3,57374,58678
SSH1,YBR283C,P38353,CHR_2,768943,770415
TCB2,YNL087W,P48231,CHR_14,462411,465947
TPO1,YLL028W,Q07824,CHR_12,84804,86564
TPO2,YGR138C,P53283,CHR_7,763762,765606
TPO4,YOR273C,Q12256,CHR_15,834452,836431
UIP4,YPL186C,Q08926,CHR_16,194512,195426
VAC8,YEL013W,P39968,CHR_5,128825,130561
WSC2,YNL283C,P53832,CHR_14,105184,106695
